RESPNUM_FK,comment_field,comment_group,comment_code,Comment,Sentiment
435,Q8COM1,Q8,58,Add more walkways / connect terminals / better directions,Negative
436,Q8COM1,Q8,43,Make airport cleaner (general),Negative
437,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
438,Q8COM1,Q8,60,Could not find information booths / staff,Negative
439,Q8COM1,Q8,54,Add more boarding gate signs in more areas,Negative
443,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
444,Q8COM1,Q8,102,Wider selection of restaurants,Negative
445,Q8COM1,Q8,201,Security lines too long,Negative
448,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
449,Q8COM1,Q8,12,Elevators / escalators / people movers broken,Negative
450,Q8COM1,Q8,1,General positive comment / everything is great,Positive
451,Q8COM1,Q8,102,Wider selection of restaurants,Negative
452,Q8COM1,Q8,1,General positive comment / everything is great,Positive
453,Q8COM1,Q8,102,Wider selection of restaurants,Negative
456,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
457,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
458,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
459,Q8COM1,Q8,201,Security lines too long,Negative
460,Q8COM1,Q8,20,Open shops / currency / info booths earlier,Negative
462,Q8COM1,Q8,102,Wider selection of restaurants,Negative
463,Q8COM1,Q8,210,Increase visible security away from checkpoints,Negative
464,Q8COM1,Q8,206,Security staff rude / treat passengers better,Negative
466,Q8COM1,Q8,1,General positive comment / everything is great,Positive
469,Q8COM1,Q8,8,Staff (general) are great / excellent customer service,Positive
472,Q8COM1,Q8,109,More high‑end restaurants,Negative
473,Q8COM1,Q8,1,General positive comment / everything is great,Positive
474,Q8COM1,Q8,17,More facilities for families / children,Negative
477,Q8COM1,Q8,1,General positive comment / everything is great,Positive
478,Q8COM1,Q8,1,General positive comment / everything is great,Positive
482,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
484,Q8COM1,Q8,1,General positive comment / everything is great,Positive
485,Q8COM1,Q8,102,Wider selection of restaurants,Negative
487,Q8COM1,Q8,1,General positive comment / everything is great,Positive
488,Q8COM1,Q8,104,"Add specific restaurant types (e.g., Asian, breakfast, pizza)",Negative
490,Q8COM1,Q8,204,Streamline customs/immigration; lines too long,Negative
493,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
494,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
498,Q8COM1,Q8,202,Security area too crowded,Negative
500,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
503,Q8COM1,Q8,1,General positive comment / everything is great,Positive
504,Q8COM1,Q8,52,Signage inaccurate / confusing,Negative
505,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
508,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
514,Q8COM1,Q8,102,Wider selection of restaurants,Negative
516,Q8COM1,Q8,205,Relax prohibited items / security restrictions,Negative
517,Q8COM1,Q8,1,General positive comment / everything is great,Positive
520,Q8COM1,Q8,204,Streamline customs/immigration; lines too long,Negative
521,Q8COM1,Q8,1,General positive comment / everything is great,Positive
523,Q8COM1,Q8,22,More / cleaner restrooms / fix facilities,Negative
524,Q8COM1,Q8,1,General positive comment / everything is great,Positive
525,Q8COM1,Q8,51,Provide announcements / signs in other languages,Negative
526,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
527,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
528,Q8COM1,Q8,107,"More diet options (vegan, halal, gluten‑free)",Negative
529,Q8COM1,Q8,12,Elevators / escalators / people movers broken,Negative
531,Q8COM1,Q8,73,Expand pickup/dropoff points for TNCs,Negative
534,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
537,Q8COM1,Q8,501,Increase airline staffing / check‑in too long / overburdened,Negative
542,Q8COM1,Q8,1,General positive comment / everything is great,Positive
543,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
545,Q8COM1,Q8,6,Airport seems crowded / cramped / noisy / too small / dimly lit,Negative
546,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
547,Q8COM1,Q8,1,General positive comment / everything is great,Positive
550,Q8COM1,Q8,12,Elevators / escalators / people movers broken,Negative
551,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
552,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
553,Q8COM1,Q8,1,General positive comment / everything is great,Positive
554,Q8COM1,Q8,2,Comments about the survey itself,Neutral
555,Q8COM1,Q8,202,Security area too crowded,Negative
557,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
560,Q8COM1,Q8,1,General positive comment / everything is great,Positive
562,Q8COM1,Q8,105,Improve quality of food,Negative
566,Q8COM1,Q8,1,General positive comment / everything is great,Positive
568,Q8COM1,Q8,15,Add gym / yoga / massages,Negative
569,Q8COM1,Q8,102,Wider selection of restaurants,Negative
571,Q8COM1,Q8,102,Wider selection of restaurants,Negative
576,Q8COM1,Q8,24,More trash / recycling / compost bins,Negative
579,Q8COM1,Q8,7,Update older areas / airport seems outdated,Negative
586,Q8COM1,Q8,60,Could not find information booths / staff,Negative
590,Q8COM1,Q8,6,Airport seems crowded / cramped / noisy / too small / dimly lit,Negative
596,Q8COM1,Q8,201,Security lines too long,Negative
598,Q8COM1,Q8,4,Don’t know / don’t come enough to know,Neutral
600,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
604,Q8COM1,Q8,102,Wider selection of restaurants,Negative
605,Q8COM1,Q8,1,General positive comment / everything is great,Positive
607,Q8COM1,Q8,1,General positive comment / everything is great,Positive
608,Q8COM1,Q8,71,Approach signs inaccurate (which airline at which terminal),Negative
614,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
615,Q8COM1,Q8,501,Increase airline staffing / check‑in too long / overburdened,Negative
616,Q8COM1,Q8,503,Offer more flights to ...,Negative
617,Q8COM1,Q8,1,General positive comment / everything is great,Positive
618,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
619,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
620,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
621,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
622,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
624,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
626,Q8COM1,Q8,8,Staff (general) are great / excellent customer service,Positive
628,Q8COM1,Q8,206,Security staff rude / treat passengers better,Negative
629,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
630,Q8COM1,Q8,19,Add more ‘things to do’ / interactive spaces,Negative
631,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
632,Q8COM1,Q8,25,Add / bring back smoking areas,Negative
633,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
634,Q8COM1,Q8,61,Info booth personnel could not help / wrong info,Negative
640,Q8COM1,Q8,76,Pickup/dropoff by car easier to navigate,Negative
642,Q8COM1,Q8,1,General positive comment / everything is great,Positive
644,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
646,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
647,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
651,Q8COM1,Q8,73,Expand pickup/dropoff points for TNCs,Negative
653,Q8COM1,Q8,1,General positive comment / everything is great,Positive
656,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
658,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
659,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
660,Q8COM1,Q8,1,General positive comment / everything is great,Positive
662,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
664,Q8COM1,Q8,1,General positive comment / everything is great,Positive
666,Q8COM1,Q8,102,Wider selection of restaurants,Negative
667,Q8COM1,Q8,54,Add more boarding gate signs in more areas,Negative
669,Q8COM1,Q8,64,Takes too long to get to gate (overall),Negative
672,Q8COM1,Q8,105,Improve quality of food,Negative
673,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
674,Q8COM1,Q8,31,Need more seating at boarding areas,Negative
675,Q8COM1,Q8,9,Staff (general) are rude / do not help,Negative
679,Q8COM1,Q8,24,More trash / recycling / compost bins,Negative
680,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
681,Q8COM1,Q8,6,Airport seems crowded / cramped / noisy / too small / dimly lit,Negative
688,Q8COM1,Q8,7,Update older areas / airport seems outdated,Negative
692,Q8COM1,Q8,202,Security area too crowded,Negative
694,Q8COM1,Q8,65,Better signage at arrivals / luggage pickup,Negative
695,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
697,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
703,Q8COM1,Q8,9,Staff (general) are rude / do not help,Negative
706,Q8COM1,Q8,1,General positive comment / everything is great,Positive
707,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
709,Q8COM1,Q8,103,More casual/fast food options,Negative
710,Q8COM1,Q8,60,Could not find information booths / staff,Negative
719,Q8COM1,Q8,60,Could not find information booths / staff,Negative
720,Q8COM1,Q8,60,Could not find information booths / staff,Negative
725,Q8COM1,Q8,994,Positive comment about seating/boarding areas,Positive
726,Q8COM1,Q8,102,Wider selection of restaurants,Negative
727,Q8COM1,Q8,501,Increase airline staffing / check‑in too long / overburdened,Negative
728,Q8COM1,Q8,206,Security staff rude / treat passengers better,Negative
729,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
731,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
734,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
735,Q8COM1,Q8,102,Wider selection of restaurants,Negative
738,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
739,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
741,Q8COM1,Q8,8,Staff (general) are great / excellent customer service,Positive
743,Q8COM1,Q8,63,Better signage/directions (general),Negative
744,Q8COM1,Q8,1,General positive comment / everything is great,Positive
747,Q8COM1,Q8,204,Streamline customs/immigration; lines too long,Negative
750,Q8COM1,Q8,501,Increase airline staffing / check‑in too long / overburdened,Negative
751,Q8COM1,Q8,1,General positive comment / everything is great,Positive
752,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
757,Q8COM1,Q8,66,Difficult to navigate with disabilities,Negative
758,Q8COM1,Q8,1,General positive comment / everything is great,Positive
759,Q8COM1,Q8,1,General positive comment / everything is great,Positive
761,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
762,Q8COM1,Q8,105,Improve quality of food,Negative
763,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
764,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
767,Q8COM1,Q8,502,Airline staff rude / not helpful,Negative
769,Q8COM1,Q8,102,Wider selection of restaurants,Negative
773,Q8COM1,Q8,1,General positive comment / everything is great,Positive
774,Q8COM1,Q8,1,General positive comment / everything is great,Positive
777,Q8COM1,Q8,66,Difficult to navigate with disabilities,Negative
778,Q8COM1,Q8,58,Add more walkways / connect terminals / better directions,Negative
779,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
780,Q8COM1,Q8,44,Too hot / too cold,Negative
783,Q8COM1,Q8,33,More ATMs / currency exchange / water refill / fountains,Negative
785,Q8COM1,Q8,51,Provide announcements / signs in other languages,Negative
786,Q8COM1,Q8,1,General positive comment / everything is great,Positive
789,Q8COM1,Q8,63,Better signage/directions (general),Negative
797,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
800,Q8COM1,Q8,74,Rental car center too congested / far / not accessible,Negative
801,Q8COM1,Q8,152,Add a specific type of store,Negative
810,Q8COM1,Q8,503,Offer more flights to ...,Negative
811,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
812,Q8COM1,Q8,3,Airport is OK / average (general),Neutral
814,Q8COM1,Q8,1,General positive comment / everything is great,Positive
815,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
816,Q8COM1,Q8,63,Better signage/directions (general),Negative
817,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
818,Q8COM1,Q8,1,General positive comment / everything is great,Positive
819,Q8COM1,Q8,62,Airport easy to get around / great layout / clean,Positive
820,Q8COM1,Q8,105,Improve quality of food,Negative
821,Q8COM1,Q8,18,Change / improve / add artwork,Negative
822,Q8COM1,Q8,54,Add more boarding gate signs in more areas,Negative
823,Q8COM1,Q8,102,Wider selection of restaurants,Negative
824,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
826,Q8COM1,Q8,1,General positive comment / everything is great,Positive
828,Q8COM1,Q8,11,Better Wi‑Fi / connection issues / info about Wi‑Fi,Negative
830,Q8COM1,Q8,76,Pickup/dropoff by car easier to navigate,Negative
834,Q8COM1,Q8,102,Wider selection of restaurants,Negative
840,Q8COM1,Q8,32,Boarding areas too small / uncomfortable during delays,Negative
841,Q8COM1,Q8,1,General positive comment / everything is great,Positive
843,Q8COM1,Q8,103,More casual/fast food options,Negative
844,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
846,Q8COM1,Q8,1,General positive comment / everything is great,Positive
848,Q8COM1,Q8,20,Open shops / currency / info booths earlier,Negative
849,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
851,Q8COM1,Q8,206,Security staff rude / treat passengers better,Negative
852,Q8COM1,Q8,5,Reduce delays / finish runway construction,Negative
853,Q8COM1,Q8,14,Charging stations / plugs don’t work / add more,Negative
854,Q8COM1,Q8,56,Could not find gate / signage insufficient,Negative
856,Q8COM1,Q8,65,Better signage at arrivals / luggage pickup,Negative
859,Q8COM1,Q8,19,Add more ‘things to do’ / interactive spaces,Negative
860,Q8COM1,Q8,16,Add place to nap / sleep,Negative
863,Q8COM1,Q8,10,Provide better service to those with disabilities,Negative
864,Q8COM1,Q8,75,More/cheaper parking / better signage & info,Negative
865,Q8COM1,Q8,12,Elevators / escalators / people movers broken,Negative
868,Q8COM1,Q8,101,Too expensive / reduce prices / cheaper options,Negative
870,Q8COM1,Q8,51,Provide announcements / signs in other languages,Negative
871,Q8COM1,Q8,43,Make airport cleaner (general),Negative
